ifo Geschäftsklima Deutschland und seine Komponenten;;;;;;;;
(seit Januar 2005);;;;;;;;
Lange Zeitreihen für das ifo Geschäftsklima Deutschland;;;;;;;;
und seine beiden Komponenten Geschäftslage und -erwartungen ;;;;;;;;
;;;;;;;;
;Deutschland;;;;;;;
;Indexwerte, 2015 = 100, saisonbereinigt;;;Salden, saisonbereinigt;;;ifo Geschäftsunsicherheit;ifo Konjunkturampel
Monat/Jahr; Geschäftsklima;Geschäftslage;Geschäftserwartungen; Geschäftsklima;Geschäftslage;Geschäftserwartungen;Ursprungswerte ab 04/2019;Wahrscheinlichkeit für eine expansive Entwicklung in %
;;;;;;;;
 02/2025;85,2;85,0;85,5;-13,7;-6,4;-20,6;66,6;30,2
 03/2025;86,8;85,7;88,0;-10,2;-4,8;-15,5;65,9;69,9
 04/2025;86,8;86,3;87,3;-10,2;-3,3;-16,9;67,8;70,6
 05/2025;87,4;86,0;88,9;-8,9;-4,0;-13,6;66,2;79,4
 06/2025;88,3;86,2;90,3;-7,1;-3,6;-10,5;63,2;88,0
 07/2025;88,5;86,5;90,6;-6,6;-3,0;-10,1;64,2;83,9
 08/2025;88,8;86,4;91,3;-5,9;-3,3;-8,6;64,2;84,2
 09/2025;87,6;85,7;89,6;-8,5;-4,8;-12,1;65,0;49,9
 10/2025;88,4;85,3;91,7;-6,7;-5,7;-7,7;66,0;69,1
 11/2025;88,0;85,6;90,6;-7,6;-5,1;-10,1;66,1;59,0
 12/2025;87,6;85,6;89,7;-8,4;-4,9;-11,9;65,7;47,3
 01/2026;87,6;85,7;89,6;-8,5;-4,8;-12,0;65,5;48,9
 02/2026;88,4;86,7;90,2;-6,7;-2,5;-10,8;64,7;76,3
 03/2026;86,4;86,7;86,0;-11,2;-2,4;-19,7;67,2;21,6
