STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,ACTIVITY,,ADJUSTMENT,,TRANSFORMATION,,TIME_HORIZ,,METHODOLOGY,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,,BASE_PER,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2023-02,,97.29729,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2013-05,,90.60889,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2013-06,,88.46356,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2013-07,,98.18067,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2013-08,,94.39478,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2013-09,,97.54969,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2011-04,,72.18425,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2011-05,,78.74645,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2011-06,,76.47492,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2011-07,,71.17467,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2011-08,,78.74645,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2014-07,,96.66631,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,1996-07,,288.3584,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2011-09,,77.73688,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2015-01,,88.71595,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2015-02,,96.03533,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,1999-04,,222.3578,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,1999-05,,226.0175,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,1999-06,,226.7746,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,1999-07,,227.1532,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,1999-08,,215.0384,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,1999-09,,218.3195,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,1999-10,,223.6197,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,1999-11,,211.8835,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,1999-12,,203.8069,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2000-01,,136.0395,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2000-02,,118.1197,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2000-03,,131.6227,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2000-04,,122.4103,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2000-05,,125.1867,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2000-06,,124.5557,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2000-07,,124.9343,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2000-08,,124.6819,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2000-09,,123.5461,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2000-10,,111.5575,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2000-11,,107.393,,A,,0,,2,,2015,
